industry,industry_category
Capital Markets and Financial Services,Finance and Insurance
Professional Services and Financial Services,Finance and Insurance
Venture Capital and Private Equity Principals,Finance and Insurance
"Manufacturing, Financial Services, and Business Consulting and Services",Finance and Insurance
Manufacturing,Manufacturing
Chemical Manufacturing,Manufacturing
Retail,Retail and Consumer Services
Wellness and Fitness Services,Hospitality and Leisure
Retail Pharmacies,Retail and Consumer Services
Semiconductor Manufacturing,Manufacturing
"Broadcast Media Production and Distribution, Entertainment Providers, and Media Production",Media and Entertainment
Alternative Medicine,Healthcare and Life Sciences
Manufacturing and Food and Beverage Services,Manufacturing
Government Relations Services,Others
"Technology, Information and Media and Hospitality",Media and Entertainment
Retail Apparel and Fashion,Retail and Consumer Services
"Software Development, Computer and Network Security, and Engineering Services",Information Technology and Services
Banking,Finance and Insurance
"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security",Information Technology and Services
Financial Services and Venture Capital and Private Equity Principals,Finance and Insurance
Investment Management,Finance and Insurance
Business Intelligence Platforms and Internet Publishing,Information Technology and Services
Pharmaceutical Manufacturing,Healthcare and Life Sciences
Insurance,Finance and Insurance
Civil Engineering,Construction and Real Estate
Government Administration,Others
Research Services,Professional Services and Consulting
Environmental Services and Renewable Energy Semiconductor Manufacturing,Energy and Utilities
Wholesale Building Materials,Retail and Consumer Services
"Information Services and Technology, Information and Media",Media and Entertainment
Banking and Financial Services,Finance and Insurance
Insurance and IT Services and IT Consulting,Finance and Insurance
Ground Passenger Transportation,Transportation and Logistics
"Biotechnology Research, Pharmaceutical Manufacturing, and Software Development",Healthcare and Life Sciences
Furniture and Home Furnishings Manufacturing,Manufacturing
Software Development and Retail,Retail and Consumer Services
Software Development and Hospitals and Health Care,Healthcare and Life Sciences
"Transportation, Logistics, Supply Chain and Storage and Internet Publishing",Transportation and Logistics
Insurance and Hospitals and Health Care,Healthcare and Life Sciences
"Technology, Information and Internet and Transportation, Logistics, Supply Chain and Storage",Transportation and Logistics
Renewable Energy Semiconductor Manufacturing,Manufacturing
"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",Manufacturing
Utilities,Energy and Utilities
"Aviation and Aerospace Component Manufacturing, Defense and Space Manufacturing, and Biotechnology Research",Manufacturing
Computer Hardware Manufacturing,Manufacturing
Biotechnology Research and IT Services and IT Consulting,Healthcare and Life Sciences
Writing and Editing,Media and Entertainment
Information Services and IT Services and IT Consulting,Professional Services and Consulting
Insurance Agencies and Brokerages,Finance and Insurance
Marketing Services and Advertising Services,Others
Medical Practices,Healthcare and Life Sciences
IT Services and IT Consulting and Advertising Services,Professional Services and Consulting
Software Development and IT Services and IT Consulting,Professional Services and Consulting
"Pharmaceutical Manufacturing, Chemical Manufacturing, and Biotechnology Research",Healthcare and Life Sciences
Biotechnology Research and Medical Equipment Manufacturing,Healthcare and Life Sciences
"Hospitals and Health Care, Staffing and Recruiting, and Software Development",Healthcare and Life Sciences
"Financial Services, Information Services, and IT Services and IT Consulting",Finance and Insurance
IT System Custom Software Development,Professional Services and Consulting
"Accounting, Consumer Services, and Appliances, Electrical, and Electronics Manufacturing",Manufacturing
"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",Manufacturing
"IT Services and IT Consulting, Manufacturing, and Semiconductor Manufacturing",Manufacturing
"Civil Engineering, Environmental Services, and Construction",Construction and Real Estate
Information Services,Information Technology and Services
Professional Services,Professional Services and Consulting
Defense and Space Manufacturing,Manufacturing
"Retail, Retail Apparel and Fashion, and Consumer Services",Retail and Consumer Services
"Banking, Insurance, and Financial Services",Finance and Insurance
Urban Transit Services,Transportation and Logistics
"Business Consulting and Services, IT Services and IT Consulting, and Data Infrastructure and Analytics",Information Technology and Services
Computers and Electronics Manufacturing,Manufacturing
"Software Development, IT Services and IT Consulting, and Technology, Information and Internet",Information Technology and Services
Consumer Services,Retail and Consumer Services
"Advertising Services, IT Services and IT Consulting, and Software Development",Information Technology and Services
Hospitality,Hospitality and Leisure
Non-profit Organization Management,Non-profit and Education
"Software Development, Technology, Information and Internet, and Technology, Information and Media",Media and Entertainment
"Real Estate, Construction, and Financial Services",Finance and Insurance
"Accounting, Legal Services, and Law Practice",Professional Services and Consulting
"Government Administration, Government Relations Services, and Information Services",Others
"Spectator Sports, Advertising Services, and Events Services",Others
Retail and Retail Apparel and Fashion,Retail and Consumer Services
Wholesale Metals and Minerals,Retail and Consumer Services
Telecommunications and Semiconductor Manufacturing,Manufacturing
"Banking, Financial Services, and Investment Banking",Finance and Insurance
