job_title,company_name,location,City,State,time_posted,num_applicants,salary,Min_Salary,Max_Salary,seniority,employment_type,job_function,industry,industry_category,job_title_category
ML Engineer,iLink Digital,"Los Angeles, CA",Los Angeles,CA,1 month ago,29 applicants,"$90,000.00/yr - $130,000.00/yr",90000,130000,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,AI/ML
AI ML Cloud Engineer,ChabezTech LLC,"Los Angeles, CA",Los Angeles,CA,5 months ago,197 applicants,"$120,000.00/yr - $180,000.00/yr",120000,180000,Mid-Senior level,Contract,Engineering and Information Technology,Investment Banking,Finance and Insurance,AI/ML
Machine Learning Engineer - New Verticals,DoorDash,"Los Angeles, CA",Los Angeles,CA,1 day ago,117 applicants,"$95,000.00/yr - $135,000.00/yr",95000,135000,Entry level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Machine Learning Engineer
AI / ML Engineer,SynergisticIT,"Santa Monica, CA",Santa Monica,CA,3 weeks ago,27 applicants,"$70,000.00/yr - $90,000.00/yr",70000,90000,Entry level,Contract,Engineering,IT Services and IT Consulting,Information Technology and Services,AI/ML
Staff Machine Learning Engineer,SurveyMonkey,"Portland, OR",Portland,OR,5 days ago,29 applicants,"$214,240.00/yr - $321,360.00/yr",214240,321360,Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet and IT Services and IT Consulting",Information Technology and Services,Machine Learning Engineer
"Software Engineer, UI Systems Team",Coinbase,"Portland, OR",Portland,OR,4 days ago,78 applicants,"$147,000.00/yr - $174,000.00/yr",147000,174000,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Others
Machine Learning Engineer,CoVar,"Durham, NC",Durham,NC,7 months ago,117 applicants,"$80,000.00/yr - $120,000.00/yr",80000,120000,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Machine Learning Engineer
Senior AI/ML Engineer,Lenovo,"Morrisville, NC",Morrisville,NC,2 weeks ago,89 applicants,"$147,900.00/yr - $174,000.00/yr",147900,174000,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,AI/ML
GEN AI data scientist ( Remote),Cognizant,"Raleigh, NC",Raleigh,NC,3 weeks ago,183 applicants,"$60,000.00/yr - $90,000.00/yr",60000,90000,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting and Business Consulting and Services,Information Technology and Services,AI/ML
Machine Learning Engineer - Platform,Coinbase,"Raleigh, NC",Raleigh,NC,2 weeks ago,184 applicants,"$147,900.00/yr - $174,000.00/yr",147900,174000,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Machine Learning Engineer
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,"Raleigh, NC",Raleigh,NC,1 month ago,,"$70,000.00/yr - $120,000.00/yr",70000,120000,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,AI/ML
Machine Learning Engineer 2,Intuit,"San Diego, CA",San Diego,CA,1 week ago,,"$90,000.00/yr - $130,000.00/yr",90000,130000,Associate,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Machine Learning Engineer
AI Machine Learning Engineer,Revvity,"San Diego, CA",San Diego,CA,3 weeks ago,,"$155,000.00/yr - $165,000.00/yr",155000,165000,Associate,Full-time,Engineering and Information Technology,Biotechnology Research,Healthcare and Life Sciences,AI/ML
Machine Learning Engineer - Applied AI,Uber,"Seattle, WA",Seattle,WA,1 week ago,,"$158,000.00/yr - $175,500.00/yr",158000,175500,Not Applicable,Full-time,Engineering and Information Technology,Internet Marketplace Platforms,Information Technology and Services,Machine Learning Engineer
Artificial Intelligence Engineer,Hamilton Porter,"Seattle, WA",Seattle,WA,2 weeks ago,,"$170,000.00/yr - $180,000.00/yr",170000,180000,Mid-Senior level,Full-time,Information Technology and Engineering,"Software Development, Technology, Information and Internet, and Advertising Services",Information Technology and Services,AI/ML
Machine Learning Engineer,Tiger Analytics,"Seattle, WA",Seattle,WA,1 year ago,,"$156,000.00/yr - $220,100.00/yr",156000,220100,Mid-Senior level,Full-time,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Machine Learning Engineer
Machine Learning (Pre-Sales) Solutions Engineer,Snorkel AI,"Raleigh, NC",Raleigh,NC,5 days ago,,"$120,000.00/yr - $150,000.00/yr",120000,150000,Entry level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Machine Learning Engineer
ML Research Engineer (New Grad),Genesis Therapeutics,"Burlingame, CA",Burlingame,CA,1 month ago,,"$90,000.00/yr - $130,000.00/yr",90000,130000,Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage",Transportation and Logistics,Machine Learning Engineer
AI/ML Engineer,Ikigai,"San Mateo, CA",San Mateo,CA,1 month ago,,"$80,000.00/yr - $120,000.00/yr",80000,120000,Entry level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,AI/ML
AI/ML Engineer,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,,"$160,000.00/yr - $200,000.00/yr",160000,200000,Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,AI/ML
Junior Data Analyst - (Entry Level),SynergisticIT,"San Francisco, CA",San Francisco,CA,1 month ago,95 applicants,"$70,000.00/yr - $100,000.00/yr",70000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Product Data Analyst,Inkitt,"San Francisco, CA",San Francisco,CA,2 months ago,193 applicants,"$63,000.00/yr - $289,000.00/yr",63000,289000,Not Applicable,Full-time,Information Technology,Entertainment Providers,Media and Entertainment,Data Analyst
Data Analyst (ENTRY LEVEL),SynergisticIT,"San Francisco, CA",San Francisco,CA,2 months ago,89 applicants,"$70,000.00/yr - $100,000.00/yr",70000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Junior Data Scientist - Remote,SynergisticIT,"San Francisco, CA",San Francisco,CA,2 months ago,27 applicants,"$80,000.00/yr - $100,000.00/yr",80000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Scientist
Data Analyst - Junior,SynergisticIT,"Berkeley, CA",Berkeley,CA,3 months ago,61 applicants,"$110,000.00/yr - $120,000.00/yr",110000,120000,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Artificial Intelligence Research Scientist (Gen AI - Multimodal Learning),Eluvio,"Berkeley, CA",Berkeley,CA,6 months ago,,"$90,000.00/yr - $130,000.00/yr",90000,130000,Entry level,Full-time,Other,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,AI/ML
Stay-at-home Parent - AI Side Hustles,"Fud, Inc.","Oakland, CA",Oakland,CA,7 months ago,88 applicants,"$90,000.00/yr - $130,000.00/yr",90000,130000,Entry level,Full-time,General Business,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,AI/ML
AI Software Engineer,JARS AI,"San Francisco, CA",San Francisco,CA,1 week ago,,"$140,000.00/yr - $170,000.00/yr",140000,170000,Entry level,Full-time,Engineering and Information Technology,Entertainment Providers,Media and Entertainment,AI/ML
Jr. Data Analyst (Remote),SynergisticIT,"San Francisco, CA",San Francisco,CA,1 month ago,65 applicants,"$70,000.00/yr - $100,000.00/yr",70000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Director of AI,Inkitt,"San Francisco, CA",San Francisco,CA,1 month ago,44 applicants,"$188,000.00/yr - $320,000.00/yr",188000,320000,Not Applicable,Full-time,Engineering and Information Technology,Entertainment Providers,Media and Entertainment,AI/ML
Gen AI Engineer (Data Analyst- San Francisco) - Onsite,ATD Technology LLC full-service Staffing & Recruiting Agency,"San Francisco, CA",San Francisco,CA,1 month ago,80 applicants,"$110,000.00/yr - $140,000.00/yr",110000,140000,Associate,Contract,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
"Research Scientist, Gen AI/ML, Computational Photography",Google,"Mountain View, CA",Mountain View,CA,1 week ago,38 applicants,"$161,000.00/yr - $239,000.00/yr",161000,239000,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",Information Technology and Services,AI/ML
Entry/Junior Data Analyst - Remote,SynergisticIT,"San Jose, CA",San Jose,CA,1 week ago,135 applicants,"$80,000.00/yr - $110,000.00/yr",80000,110000,Entry level,Full-time,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Entry Level Python Developer (Remote),SynergisticIT,"San Jose, CA",San Jose,CA,,55 applicants,"$80,000.00/yr - $110,000.00/yr",80000,110000,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Data Analyst - Entry Level,SynergisticIT,"Santa Clara, CA",Santa Clara,CA,1 week ago,59 applicants,"$80,000.00/yr - $110,000.00/yr",80000,110000,Entry level,Full-time,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Jr. Data Analyst (Remote),SynergisticIT,"Mountain View, CA",Mountain View,CA,2 months ago,80 applicants,"$70,000.00/yr - $100,000.00/yr",70000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Junior Data Scientist/Engineer,SynergisticIT,"San Jose, CA",San Jose,CA,1 week ago,51 applicants,"$155,000.00/yr - $175,000.00/yr",155000,175000,Entry level,Full-time,Engineering and Information Technology,"Biotechnology Research, IT Services and IT Consulting, and Civil Engineering",Healthcare and Life Sciences,Data Scientist
Data Scientist,SMARTWORK IT SERVICES LLC (SWITS),"Santa Clara, CA",Santa Clara,CA,1 month ago,157 applicants,"$155,000.00/yr - $175,000.00/yr",155000,175000,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Scientist
Junior Data Scientist/Analyst (Remote),SynergisticIT,"San Jose, CA",San Jose,CA,1 month ago,80 applicants,"$80,000.00/yr - $100,000.00/yr",80000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Scientist
"Data Scientist, Gen AI",Meta,"Menlo Park, CA",Menlo Park,CA,3 days ago,156 applicants,"$206,000.00/yr - $281,000.00/yr",206000,281000,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,AI/ML
Entry/Junior Level Data Scientist/Python Programmer,SynergisticIT,"San Jose, CA",San Jose,CA,2 months ago,31 applicants,"$80,000.00/yr - $100,000.00/yr",80000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Scientist
Remote Data Scientist - Junior/Entry,SynergisticIT,"San Jose, CA",San Jose,CA,4 months ago,,"$80,000.00/yr - $100,000.00/yr",80000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Scientist
Head of Growth,Contextual AI,"Mountain View, CA",Mountain View,CA,6 days ago,57 applicants,"$150,000.00/yr - $250,000.00/yr",150000,250000,Director,Full-time,Marketing and Sales,"Technology, Information and Internet",Information Technology and Services,Others
Entry Level Business/Data Analyst,SynergisticIT,"San Mateo, CA",San Mateo,CA,3 months ago,146 applicants,"$90,000.00/yr - $135,000.00/yr",90000,135000,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Data Analyst/Engineer - Entry/Junior,SynergisticIT,"Palo Alto, CA",Palo Alto,CA,1 week ago,89 applicants,"$130,000.00/yr - $160,000.00/yr",130000,160000,Entry level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering,Construction and Real Estate,Data Analyst
entry level Java full stack developer with devops/Entry level data scientist with python,SynergisticIT,"Los Angeles, CA",Los Angeles,CA,3 days ago,83 applicants,"$81,000.00/yr - $128,000.00/yr",81000,128000,Entry level,Full-time,Information Technology,"Technology, Information and Media and IT Services and IT Consulting",Media and Entertainment,Data Scientist
Junior/Entry Data Analyst,SynergisticIT,"Long Beach, CA",Long Beach,CA,3 months ago,95 applicants,"$110,000.00/yr - $120,000.00/yr",110000,120000,Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Associate Creative Director - Art,IW Group Inc.,"Los Angeles, CA",Los Angeles,CA,3 days ago,122 applicants,"$110,000.00/yr - $120,000.00/yr",110000,120000,Mid-Senior level,Full-time,Art/Creative,Advertising Services,Media and Entertainment,Others
"AWS Architect with Java, Spring Boot exp",SPAR Information Systems LLC,"Los Angeles, CA",Los Angeles,CA,1 month ago,27 applicants,"$120,000.00/yr - $160,000.00/yr",120000,160000,Mid-Senior level,Contract,Engineering and Information Technology,Information Technology & Services,Information Technology and Services,
"Software Engineer, Gen AI/ML, Computational Photography",Google,"Los Angeles, CA",Los Angeles,CA,1 week ago,40 applicants,"$160,000.00/yr - $239,000.00/yr",160000,239000,Mid-Senior level,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",Information Technology and Services,AI/ML
"Director, Data Science",Red Bull,"Santa Monica, CA",Santa Monica,CA,2 weeks ago,132 applicants,"$155,000.00/yr - $175,000.00/yr",155000,175000,Director,Full-time,Other,Food and Beverage Services,Manufacturing,Data Scientist
Data Analyst (Remote),SynergisticIT,"Los Angeles, CA",Los Angeles,CA,1 month ago,73 applicants,"$70,000.00/yr - $100,000.00/yr",70000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
Junior Data Scientist (Remote),SynergisticIT,"Los Angeles, CA",Los Angeles,CA,1 month ago,93 applicants,"$80,000.00/yr - $100,000.00/yr",80000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Scientist
"Entry Level Data Analyst, application via RippleMatch",RippleMatch,"Los Angeles, CA",Los Angeles,CA,3 weeks ago,,"$80,000.00/yr - $110,000.00/yr",80000,110000,Entry level,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Analyst
Google Cloud Director AI,Slalom,"Los Angeles, CA",Los Angeles,CA,1 week ago,,"$140,000.00/yr - $307,000.00/yr",140000,307000,Director,Full-time,Engineering and Information Technology,Business Consulting and Services,Professional Services and Consulting,AI/ML
"Market Research Analyst, application via RippleMatch",RippleMatch,"Los Angeles, CA",Los Angeles,CA,2 weeks ago,,"$102,000.00/yr - $150,000.00/yr",102000,150000,Mid-Senior level,Full-time,Marketing and Sales,"Technology, Information and Internet",Information Technology and Services,Data Analyst
Entry Level Data Analyst,SynergisticIT,"Los Angeles, CA",Los Angeles,CA,1 month ago,110 applicants,"$70,000.00/yr - $100,000.00/yr",70000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Analyst
"Software Engineer, Gen AI/ML, Computational Photography",Google,"Los Angeles, CA",Los Angeles,CA,1 week ago,40 applicants,"$161,000.00/yr - $239,000.00/yr",161000,239000,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",Information Technology and Services,AI/ML
Junior Data Scientist (Remote),SynergisticIT,"Sacramento, CA",Sacramento,CA,3 months ago,,"$80,000.00/yr - $100,000.00/yr",80000,100000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Scientist
Software Developer - Junior,SynergisticIT,"Elk Grove, CA",Elk Grove,CA,2 months ago,39 applicants,"$70,000.00/yr - $90,000.00/yr",70000,90000,Entry level,Contract,Information Technology,IT Services and IT Consulting,Information Technology and Services,Others
Advanced AI Research Scientist Associate Manager,Accenture,"Sacramento, CA",Sacramento,CA,1 month ago,,"$73,000.00/yr - $220,400.00/yr",73000,220400,Mid-Senior level,Full-time,Engineering and Information Technology,Business Consulting and Services,Professional Services and Consulting,AI/ML
Automation Maintenance Manager,Symbotic,"Woodland, CA",Woodland,CA,1 day ago,,"$160,000.00/yr - $200,000.00/yr",160000,200000,Mid-Senior level,Full-time,Management and Manufacturing,"Automation Machinery Manufacturing, Software Development, and Industrial Automation",Manufacturing,Others
Automation Maintenance Technician (All Levels),Symbotic,"Woodland, CA",Woodland,CA,1 day ago,,"$90,000.00/yr - $130,000.00/yr",90000,130000,Entry level,Full-time,Management and Manufacturing,"Automation Machinery Manufacturing, Software Development, and Industrial Automation",Manufacturing,Others
"Principal AI Architect - Telecom, Media & Tech (TMT) - Senior Manager - Consulting - Location Open",EY,"Sacramento, CA",Sacramento,CA,2 weeks ago,,"$160,000.00/yr - $200,000.00/yr",160000,200000,Mid-Senior level,Full-time,"Design, Art/Creative, and Information Technology",IT Services and IT Consulting,Information Technology and Services,Data Architect
Enterprise Tech - Tech Lead - Gen AI Solutions,PwC,"Sacramento, CA",Sacramento,CA,2 weeks ago,,"$124,000.00/yr - $280,000.00/yr",124000,280000,Not Applicable,Full-time,Information Technology,"Accounting, Financial Services, and Business Consulting and Services",Finance and Insurance,AI/ML
Data Architect,Kiddom,"San Francisco, CA",San Francisco,CA,1 week ago,,"$150,000.00/yr - $200,000.00/yr",150000,200000,Not Applicable,Full-time,Engineering and Information Technology,E-Learning Providers,Non-profit and Education,Data Architect
Solutions Architect - Startups,Databricks,"Berkeley, CA",Berkeley,CA,6 days ago,,"$220,000.00/yr - $325,000.00/yr",220000,325000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Architect
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",San Francisco,CA,1 week ago,,"$190,000.00/yr - $235,000.00/yr",190000,235000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Scientist
Data Architect,Highnote,"San Francisco, CA",San Francisco,CA,1 week ago,,"$170,000.00/yr - $230,000.00/yr",170000,230000,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Architect
Big Data Architect,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,6 months ago,28 applicants,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Data Architect
Senior Data Architect,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,182 applicants,"$190,000.00/yr - $250,000.00/yr",190000,250000,Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Data Architect
Data Architect,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,67 applicants,"$150,000.00/yr - $230,000.00/yr",150000,230000,Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,Non-profit and Education,Data Architect
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",San Francisco,CA,1 week ago,,"$183,000.00/yr - $201,500.00/yr",183000,201500,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Scientist
Solutions Architect - Startups,Databricks,"San Francisco, CA",San Francisco,CA,6 days ago,25 applicants,"$220,000.00/yr - $325,000.00/yr",220000,325000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Architect
"Senior Architect, Data Analytics /AI-ML",Guidewire Software,"San Mateo, CA",San Mateo,CA,1 week ago,177 applicants,"$180,000.00/yr - $210,000.00/yr",180000,210000,Not Applicable,Full-time,"Design, Art/Creative, and Information Technology","Transportation, Logistics, Supply Chain and Storage",Transportation and Logistics,AI/ML
Solutions Architect,Sahara AI,"San Francisco, CA",San Francisco,CA,2 months ago,27 applicants,"$200,000.00/yr - $275,000.00/yr",200000,275000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Architect
Data Architect,Highnote,"San Francisco, CA",San Francisco,CA,1 week ago,,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Architect
"Solutions Architect, Data Center Infrastructure",NVIDIA,"Santa Clara, CA",Santa Clara,CA,4 days ago,,"$148,000.00/yr - $276,000.00/yr",148000,276000,Mid-Senior level,Full-time,Engineering and Information Technology,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",Manufacturing,Data Architect
Solutions Architect - Startups,Databricks,"Mountain View, CA",Mountain View,CA,6 days ago,,"$220,000.00/yr - $325,000.00/yr",220000,325000,Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,Information Technology and Services,Data Architect
"Data Center Systems Architect, Sustainability",Google,"Sunnyvale, CA",Sunnyvale,CA,2 days ago,,"$130,000.00/yr - $160,000.00/yr",130000,160000,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",Information Technology and Services,Data Architect
Solutions Architect,Productiv,"Palo Alto, CA",Palo Alto,CA,1 week ago,45 applicants,"$140,000.00/yr - $160,000.00/yr",140000,160000,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Architect
Senior Solution Architect,"Arrcus, Inc.","San Jose, CA",San Jose,CA,3 days ago,,"$150,000.00/yr - $180,000.00/yr",150000,180000,Mid-Senior level,Full-time,Engineering and Information Technology,Computer Networking Products,Information Technology and Services,Data Architect
Data Architect,PayPal,"San Jose, CA",San Jose,CA,1 month ago,64 applicants,"$130,000.00/yr - $160,000.00/yr",130000,160000,Not Applicable,Full-time,Engineering and Information Technology,"Software Development, Financial Services, and Technology, Information and Internet",Finance and Insurance,Data Architect
Solutions Architect,Productiv,"Palo Alto, CA",Palo Alto,CA,1 week ago,45 applicants,"$200,000.00/yr - $275,000.00/yr",200000,275000,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Architect
"Solutions Architect, AI Infrastructure",NVIDIA,"Santa Clara, CA",Santa Clara,CA,3 days ago,,"$148,000.00/yr - $230,000.00/yr",148000,230000,Mid-Senior level,Full-time,Sales,"Computer Hardware Manufacturing, Software Development, and Computers and Electronics Manufacturing",Manufacturing,Data Architect
Data Architect,Maxonic,"Palo Alto, CA",Palo Alto,CA,2 days ago,39 applicants,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Information Technology,Information Technology & Services,Information Technology and Services,Data Architect
Data Architect,Maxonic,"Palo Alto, CA",Palo Alto,CA,3 weeks ago,103 applicants,"$160,000.00/yr - $180,000.00/yr",160000,180000,Mid-Senior level,Full-time,Engineering,Data Infrastructure and Analytics,Information Technology and Services,Data Architect
Data Architect,Maxonic,"Palo Alto, CA",Palo Alto,CA,2 days ago,39 applicants,"$160,000.00/yr - $180,000.00/yr",160000,180000,Mid-Senior level,Full-time,Information Technology,Information Technology & Services,Information Technology and Services,Data Architect
Data Architect,CriticalRiver Inc.,"Pleasanton, CA",Pleasanton,CA,1 month ago,,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Consulting,"Technology, Information and Media",Media and Entertainment,Data Architect
"Data Center Systems Architect, Sustainability",Google,"Sunnyvale, CA",Sunnyvale,CA,2 days ago,,"$139,000.00/yr - $207,000.00/yr",139000,207000,Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet",Information Technology and Services,Data Architect
EPM Platform Architect & Lead,Western Digital,"San Jose, CA",San Jose,CA,6 days ago,,"$121,975.00/yr - $172,800.00/yr",121975,172800,Mid-Senior level,Full-time,Information Technology,"Computer Hardware Manufacturing, Computers and Electronics Manufacturing, and Semiconductor Manufacturing",Manufacturing,Data Architect
Data Architect,Radiansys Inc.,"Alameda, CA",Alameda,CA,2 days ago,89 applicants,"$150,000.00/yr - $200,000.00/yr",150000,200000,Mid-Senior level,Contract,Information Technology,"Technology, Information and Media",Media and Entertainment,Data Architect
IT Solutions Architect,Los Angeles Unified School District,Los Angeles Metropolitan Area,Los Angeles Metropolitan Area,CA,2 weeks ago,42 applicants,"$181,000.00/yr - $225,000.00/yr",181000,225000,Executive,Full-time,Engineering and Information Technology,Education Administration Programs,Non-profit and Education,Data Architect
Data Architect / Data Manager / Product Owner,HireKeyz Inc,"San Diego, CA",San Diego,CA,4 months ago,36 applicants,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,Information Technology and Services,Data Architect
"IT Architect, Sr Staff (Data Center Solutions Architect)",Qualcomm,"San Diego, CA",San Diego,CA,3 months ago,25 applicants,"$138,500.00/yr - $207,500.00/yr",138500,207500,Not Applicable,Full-time,Other,Telecommunications,Information Technology and Services,Data Architect
"IT Architect, Sr Staff",Qualcomm,"San Diego, CA",San Diego,CA,1 month ago,32 applicants,"$138,500.00/yr - $207,500.00/yr",138500,207500,Not Applicable,Full-time,Other,Telecommunications,Information Technology and Services,Data Architect
Data Architect (Cleared),"IT Concepts, Inc","San Diego, CA",San Diego,CA,1 week ago,,"$165,000.00/yr - $220,000.00/yr",165000,220000,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",Information Technology and Services,Data Architect
